pincode,locality,zone_or_taluk,centroid_lat,centroid_lng,population,households,median_hh_income_inr,demand_index
560095,Koramangala 6th Block,South,12.93820,77.62280,121311,35680,1450000,93.5
560096,Nandhini Layout,West,13.01240,77.53610,334100,98265,820000,83.3
560097,Vidyaranyapura,Yelahanka,13.07540,77.55910,188961,55577,1100000,87.2
560098,Rajarajeshwari Nagar,RR Nagar,12.90720,77.52040,155161,45636,820000,79.5
560099,Bommasandra,Anekal,12.81640,77.68480,83397,24529,1450000,91.6
560100,Electronic City,Bommanahalli,12.84007,77.66354,83397,24529,1450000,91.6
560102,HSR Layout,South,12.91210,77.64460,285463,83960,1450000,97.7
560103,Bellandur,South,12.93040,77.67840,115904,34089,1450000,93.2
560105,Begur,Bommanahalli,12.87260,77.63280,218338,64217,1450000,96.4
562106,Anekal,Anekal,12.71080,77.69590,41699,12264,620000,68.1
562107,Attibele,Anekal,12.78520,77.77010,83397,24529,1450000,91.6
562110,Devanahalli,Devanahalli,13.24810,77.71320,41699,12264,620000,68.1
562114,Hoskote,Hoskote,13.07060,77.79810,41699,12264,620000,68.1
562123,Nelamangala,Nelamangala,13.09890,77.39360,41699,12264,620000,68.1
562125,Sarjapur,Mahadevapura,12.86000,77.78620,83397,24529,1450000,91.6
562149,Jigani,Anekal,12.78540,77.63810,41699,12264,720000,70.5
562157,Dommasandra,Mahadevapura,12.88240,77.75710,83397,24529,1450000,91.6
562162,Chandapura,Anekal,12.80120,77.71180,83397,24529,1450000,91.6
